Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-11-24 07:07:08,false,"San Jose ML13","13.00","1,092","02:01:20","138","165","2.9","183","199","9:20","7:59","636","669","0.94","0.0","0.0","--","--","0.0","0.0","0.0","2:01:20","0:00","53.6","0:00","No","00:01.71","14","0.0"
Running,2020-11-23 07:02:22,false,"San Jose ML12 ","12.11","887","01:56:26","127","148","2.5","182","193","9:37","8:24","535","568","0.92","0.0","0.0","--","--","0.0","0.0","0.0","1:56:26","0:00","59.0","0:00","No","00:56.72","13","0.0"
Running,2020-11-22 07:10:09,false,"Hills 14","14.50","1,319","02:26:28","137","158","3.1","177","195","10:06","8:30","879","837","0.90","0.0","0.0","--","--","0.0","0.0","0.0","2:26:28","0:00","55.4","0:00","No","04:36.41","15","0.0"
Running,2020-11-21 07:07:08,false,"Leland ML12 ","12.20","957","01:36:20","142","161","2.9","185","199","7:54","6:54","62","72","1.10","0.0","0.0","--","--","0.0","0.0","0.0","1:36:20","0:00","53.6","0:00","No","01:53.10","13","0.0"
Running,2020-11-20 06:47:05,false,"San Jose ML11 ","11.20","998","01:42:21","138","166","3.1","181","213","9:08","7:13","669","689","0.97","0.0","0.0","--","--","0.0","0.0","0.0","1:42:21","0:00","51.8","0:00","No","01:52.99","12","0.0"
Running,2020-11-19 11:58:54,false,"San Jose RC5k ","3.12","292","00:26:02","140","157","2.7","182","191","8:21","7:33","79","72","1.06","0.0","0.0","--","--","0.0","0.0","0.0","26:02","0:00","75.2","0:00","No","00:52.62","4","0.0"
Running,2020-11-19 06:35:23,false,"Leland GA9","9.10","702","01:08:23","141","160","3.0","188","199","7:31","6:55","39","56","1.14","0.0","0.0","--","--","0.0","0.0","0.0","1:08:23","0:00","51.8","0:00","No","00:51.25","10","0.0"
Running,2020-11-18 06:58:05,false,"San Jose ML11 ","11.11","897","01:42:36","135","158","2.7","180","192","9:14","8:21","282","338","0.97","0.0","0.0","--","--","0.0","0.0","0.0","1:42:36","0:00","62.6","0:00","No","00:53.70","12","0.0"
Running,2020-11-17 11:36:54,false,"San Jose RC5k ","3.10","314","00:27:39","144","162","3.0","181","193","8:54","7:53","69","52","1.00","0.0","0.0","--","--","0.0","0.0","0.0","27:39","0:00","75.2","0:00","No","01:02.27","4","0.0"
Running,2020-11-17 06:40:55,false,"San Jose RC9","9.10","714","01:22:50","132","145","2.4","182","190","9:06","8:19","141","197","0.97","0.0","0.0","--","--","0.0","0.0","0.0","1:22:50","0:00","64.4","0:00","No","00:59.43","10","0.0"
Running,2020-11-16 11:53:50,false,"San Jose RC4","4.01","434","00:37:42","146","159","3.3","179","189","9:25","8:38","89","62","0.96","0.0","0.0","--","--","0.0","0.0","0.0","37:42","0:00","75.2","0:00","No","00:03.52","5","0.0"
Running,2020-11-16 06:59:53,false,"San Jose RC8","8.10","684","01:12:37","136","154","2.7","184","194","8:58","8:07","177","184","0.97","0.0","0.0","--","--","0.0","0.0","0.0","1:12:37","0:00","53.6","0:00","No","00:57.46","9","0.0"
Running,2020-11-15 07:24:03,false,"Quicksilver Hills 14","14.21","1,332","02:26:35","138","165","3.2","177","203","10:19","8:19","1,667","1,886","0.88","0.0","0.0","--","--","0.0","0.0","0.0","2:26:35","0:00","59.0","0:00","No","01:53.63","15","0.0"
Running,2020-11-14 06:44:43,false,"Leland ML12 ","12.01","910","01:33:06","140","170","3.1","188","203","7:45","6:49","33","46","1.11","0.0","0.0","--","--","0.0","0.0","0.0","1:33:06","0:00","55.4","0:00","No","00:03.26","13","0.0"
Running,2020-11-13 06:41:07,false,"San Jose ML11 ","11.01","823","01:43:00","136","168","3.1","181","193","9:22","7:54","463","459","0.95","0.0","0.0","--","--","0.0","0.0","0.0","1:43:00","0:00","55.4","0:00","No","00:02.83","12","0.0"
Running,2020-11-12 06:30:52,false,"Leland EZ10 ","10.11","848","01:25:57","140","154","3.0","184","197","8:30","7:06","56","92","1.03","0.0","0.0","--","--","0.0","0.0","0.0","1:25:57","0:00","50.0","0:00","No","00:57.18","11","0.0"
Running,2020-11-11 06:37:20,false,"San Jose ML12 ","12.11","985","01:51:47","135","155","2.8","183","197","9:14","7:55","463","472","0.95","0.0","0.0","--","--","0.0","0.0","0.0","1:51:47","0:00","57.2","0:00","No","00:53.13","13","0.0"
Running,2020-11-10 11:40:58,false,"San Jose RC5k ","3.10","258","00:29:00","126","151","2.0","180","199","9:22","6:29","49","39","0.96","0.0","0.0","--","--","0.0","0.0","0.0","29:00","0:00","73.4","0:00","No","00:55.33","4","0.0"
Running,2020-11-10 06:36:59,false,"Leland EZ8 ","8.01","589","01:01:21","136","152","2.6","191","204","7:40","7:05","36","39","1.10","0.0","0.0","--","--","0.0","0.0","0.0","1:01:21","0:00","51.8","0:00","No","00:03.33","9","0.0"
Running,2020-11-09 11:43:36,false,"San Jose RC5k ","3.10","293","00:28:49","136","154","2.5","181","199","9:17","8:26","72","69","0.96","0.0","0.0","--","--","0.0","0.0","0.0","28:49","0:00","69.8","0:00","No","01:00.03","4","0.0"
Running,2020-11-09 06:38:17,false,"San Jose RC9","9.01","723","01:25:18","130","151","2.4","183","196","9:28","8:20","125","154","0.93","0.0","0.0","--","--","0.0","0.0","0.0","1:25:18","0:00","50.0","0:00","No","00:02.72","10","0.0"
Running,2020-11-08 06:36:27,false,"Napa RC10k ","6.20","520","00:59:28","128","150","2.4","178","199","9:35","7:54","89","108","0.94","0.0","0.0","--","--","0.0","0.0","0.0","59:28","0:00","57.2","0:00","No","01:57.66","7","0.0"
Running,2020-11-07 05:57:59,false,"Leland EZ9","9.10","707","01:12:13","137","150","2.9","187","201","7:56","6:52","20","39","1.09","0.0","0.0","--","--","0.0","0.0","0.0","1:12:13","0:00","55.4","0:00","No","00:57.72","10","0.0"
Running,2020-11-06 06:40:02,false,"Calero RC10.10","10.10","770","01:32:27","130","156","2.6","183","199","9:09","8:00","436","433","0.96","0.0","0.0","--","--","0.0","0.0","0.0","1:32:27","0:00","59.0","0:00","No","00:51.15","11","0.0"
Running,2020-11-05 11:49:49,false,"San Jose RC5k ","3.10","313","00:28:23","138","152","2.8","184","197","9:09","7:26","85","59","0.96","0.0","0.0","--","--","0.0","0.0","0.0","28:23","0:00","78.8","0:00","No","00:56.51","4","0.0"
Running,2020-11-05 06:43:14,false,"Leland GA8","8.01","613","01:00:10","138","153","3.0","188","202","7:31","6:24","30","33","1.14","0.0","0.0","--","--","0.0","0.0","0.0","1:00:10","0:00","57.2","0:00","No","00:02.56","9","0.0"
Running,2020-11-04 06:31:16,false,"ML11 ","11.04","1,080","01:38:36","146","167","3.9","183","199","8:56","7:55","141","194","0.99","0.0","0.0","--","--","0.0","0.0","0.0","1:38:36","0:00","57.2","0:00","No","00:21.12","12","0.0"
Running,2020-11-03 11:28:40,false,"San Jose RC5k","3.10","273","00:27:20","132","149","2.4","181","199","8:48","7:47","43","43","1.01","0.0","0.0","--","--","0.0","0.0","0.0","27:20","0:00","73.4","0:00","No","00:53.29","4","0.0"
Running,2020-11-03 06:33:21,false,"Leland EZ8 ","8.01","610","01:04:17","137","149","2.9","188","201","8:02","7:23","23","56","1.07","0.0","0.0","--","--","0.0","0.0","0.0","1:04:17","0:00","57.2","0:00","No","00:03.33","9","0.0"
Running,2020-11-02 11:39:37,false,"San Jose RC5k","3.11","303","00:29:24","137","153","2.8","179","192","9:28","8:57","79","69","0.95","0.0","0.0","--","--","0.0","0.0","0.0","29:24","0:00","75.2","0:00","No","01:01.17","4","0.0"
Running,2020-11-02 06:20:09,false,"San Jose RC7","7.01","533","01:05:31","128","145","2.2","183","195","9:21","8:27","131","128","0.94","0.0","0.0","--","--","0.0","0.0","0.0","1:05:31","0:00","53.6","0:00","No","00:04.15","8","0.0"
Running,2020-11-01 07:09:41,false,"Santa Teresa Hills 15","15.01","1,352","02:30:14","138","171","3.5","179","237","10:01","7:59","1,070","1,161","0.90","0.0","0.0","--","--","0.0","0.0","0.0","2:30:14","0:00","60.8","0:00","No","00:03.22","16","0.0"
Running,2020-10-31 07:53:23,false,"San Jose ML11 ","11.01","869","01:36:19","138","155","2.8","185","203","8:45","8:00","207","200","0.99","0.0","0.0","--","--","0.0","0.0","0.0","1:36:19","0:00","59.0","0:00","No","00:04.32","12","0.0"
