Date,,Stress Level,Hrs
8-Jul,Wed,20,8.7
9-Jul,Thu,31,8.5
10-Jul,Fri,32,7.6
11-Jul,Sat,32,6.1
12-Jul,Sun,32,4.1
13-Jul,Mon,18,9.1
14-Jul,Tue,38,6.4
15-Jul,Wed,56,4.7
16-Jul,Thu,28,7.1
17-Jul,Fri,14,8.7
18-Jul,Sat,38,0
19-Jul,Sun,34,7.6
20-Jul,Mon,45,5.8
21-Jul,Tue,17,5.9
22-Jul,Wed,21,7.1
23-Jul,Thu,29,6.3
24-Jul,Fri,53,6.6
25-Jul,Sat,42,3.9
26-Jul,Sun,36,8.7
27-Jul,Mon,21,6.9
28-Jul,Tue,14,8.2
29-Jul,Wed,28,8.3
30-Jul,Thu,22,8.2
31-Jul,Fri,30,6.9
1-Aug,Sat,19,7.4
2-Aug,Sun,9,8.5
3-Aug,Mon,53,8
4-Aug,Tue,21,8.4
5-Aug,Wed,17,6.6
6-Aug,Thu,24,6.5
7-Aug,Fri,20,9.5
8-Aug,Sat,32,4.2
9-Aug,Sun,14,9.2
10-Aug,Mon,34,0
11-Aug,Tue,24,8.3
12-Aug,Wed,17,6.3
13-Aug,Thu,14,9.3
14-Aug,Fri,20,7.2
15-Aug,Sat,0,0
16-Aug,Sun,53,0
17-Aug,Mon,13,9.1
18-Aug,Tue,19,9.5
19-Aug,Wed,27,8.3
20-Aug,Thu,24,6.8
21-Aug,Fri,45,5.2
22-Aug,Sat,43,4.3
23-Aug,Sun,16,7.3
24-Aug,Mon,16,7.8
25-Aug,Tue,30,7.6
26-Aug,Wed,34,5.1
27-Aug,Thu,27,7.8
28-Aug,Fri,43,7
29-Aug,Sat,28,5.5
30-Aug,Sun,14,8.6
31-Aug,Mon,15,7.1
1-Sep,Tue,19,7.3
2-Sep,Wed,20,8.6
3-Sep,Thu,50,0
4-Sep,Fri,0,0
5-Sep,Sat,47,3.5
6-Sep,Sun,15,5.9
8-Sep,Mon,10,0
7-Sep,Tue,25,8
9-Sep,Wed,21,7.5
10-Sep,Thu,31,6.6
11-Sep,Fri,32,6.1
12-Sep,Sat,36,6.4
13-Sep,Sun,16,8
14-Sep,Mon,13,7.9
15-Sep,Tue,18,7.5
16-Sep,Wed,14,7.7
17-Sep,Thu,30,7.5
18-Sep,Fri,37,7.2
19-Sep,Sat,54,6
20-Sep,Sun,34,3.6
21-Sep,Mon,7,7.6
22-Sep,Tue,14,6.1
23-Sep,Wed,24,7.9
24-Sep,Thu,30,0
25-Sep,Fri,21,7.6
26-Sep,Sat,20,7.9
27-Sep,Sun,11,6.5
28-Sep,Mon,16,7.6
29-Sep,Tue,14,7.4
30-Sep,Wed,22,7.1
1-Oct,Thu,20,8.4
2-Oct,Fri,23,6.4
3-Oct,Sat,21,6.3
4-Oct,Sun,35,0
5-Oct,Mon,16,8.5
6-Oct,Tue,17,7.5
7-Oct,Wed,21,8.8
8-Oct,Thu,21,8.3
9-Oct,Fri,24,7.2
10-Oct,Sat,42,5.3
11-Oct,Sun,17,7.5
12-Oct,Mon,12,9
13-Oct,Tue,17,8.2
14-Oct,Wed,22,8
15-Oct,Thu,27,7.9
16-Oct,Fri,31,6.7
17-Oct,Sat,59,2.6
18-Oct,Sun,15,6.3
19-Oct,Mon,12,7.3
20-Oct,Tue,17,8.3
21-Oct,Wed,21,7.9
22-Oct,Thu,60,0
23-Oct,Fri,38,6.1
24-Oct,Sat,41,3
25-Oct,Sun,17,7
26-Oct,Mon,15,8.9
27-Oct,Tue,21,7.2
28-Oct,Wed,23,7.4
29-Oct,Thu,49,0
30-Oct,Fri,63,5.9
31-Oct,Sat,42,0
1-Nov,Sun,10,0
2-Nov,Mon,20,4.7
3-Nov,Tue,30,0
4-Nov,Wed,16,8.2
5-Nov,Thu,18,8
6-Nov,Fri,16,7.8
7-Nov,Sat,20,8.3
8-Nov,Sun,15,7.6
9-Nov,Mon,27,5.8
10-Nov,Tue,17,7.9
11-Nov,Wed,18,6.6
12-Nov,Thu,21,8.3
13-Nov,Fri,22,7.1
14-Nov,Sat,30,7.2
15-Nov,Sun,36,2.8
16-Nov,Mon,16,8.3
17-Nov,Tue,26,8.4
18-Nov,Wed,26,8
19-Nov,Thu,27,7.5
20-Nov,Fri,24,6.6
21-Nov,Sat,23,7.4
22-Nov,Sun,24,7.9
23-Nov,Mon,26,7.9
24-Nov,Tue,19,7.9
25-Nov,Wed,18,8
26-Nov,Thu,26,9.1
27-Nov,Fri,27,9.2
28-Nov,Sat,26,8.7
29-Nov,Sun,23,7.7
30-Nov,Mon,15,8
1-Dec,Tue,26,8.1
2-Dec,Wed,11,6.7
